algId,DIM,funcId,worst recorded,worst reached,best reached,mean reached,median reached,runs,succ,budget
(1+1) EA_>0,64,4,13,32,32,32,32,11,11,417
(1+1) EA_>0,100,4,17,50,50,50,50,11,11,667
(1+1) EA_>0,16,5,4,14,14,14,14,11,11,102
(1+1) EA_>0,64,5,20,57,57,57,57,11,11,566
(1+1) EA_>0,100,5,37,90,90,90,90,11,11,709
(1+1) EA_>0,16,6,1,5,5,5,5,11,11,40
(1+1) EA_>0,64,6,8,21,21,21,21,11,11,227
(1+1) EA_>0,100,6,12,33,33,33,33,11,11,485
(1+1) EA_>0,16,7,5,16,16,16,16,11,11,7179
(1+1) EA_>0,64,7,26,63,64,63.81818181818182,64,11,9,409600
(1+1) EA_>0,100,7,42,98,100,98.9090909090909,99,11,2,1000000
(1+1) EA_>0,16,8,3,9,9,9,9,11,11,510
(1+1) EA_>0,64,8,14,33,33,33,33,11,11,9370
(1+1) EA_>0,100,8,23,51,51,51,51,11,11,22140
(1+1) EA_>0,16,9,6,16,16,16,16,11,11,847
(1+1) EA_>0,64,9,22,64,64,64,64,11,11,19971
(1+1) EA_>0,100,9,38,100,100,100,100,11,11,72984
gHC,16,1,5,16,16,16,16,11,11,17
gHC,64,1,26,64,64,64,64,11,11,65
gHC,100,1,42,100,100,100,100,11,11,101
gHC,16,10,1,5,10,9.545454545454545,10,11,10,25600
gHC,64,10,25,28,38,34.36363636363637,33,11,5,409600
gHC,100,10,46,49,59,53.54545454545455,54,11,4,1000000
gHC,16,11,0,8,8,8,8,11,11,43
gHC,64,11,0,32,32,32,32,11,11,706
gHC,100,11,0,50,50,50,50,11,11,1571
gHC,16,12,0,14,14,14,14,11,11,83
gHC,64,12,0,57,57,57,57,11,11,1137
gHC,100,12,0,90,90,90,90,11,11,2619
gHC,16,13,0,5,5,5,5,11,11,29
gHC,64,13,0,21,21,21,21,11,11,382
gHC,100,13,0,33,33,33,33,11,11,1297
gHC,16,14,0,2,10,4.909090909090909,3,11,1,25600
gHC,64,14,0,2,28,8.818181818181818,4,11,1,409600
gHC,100,14,0,2,28,10.909090909090908,10,11,1,1000000
gHC,16,15,1,9,9,9,9,11,11,98
gHC,64,15,1,33,33,33,33,11,11,1642
gHC,100,15,1,51,51,51,51,11,11,2798
gHC,16,16,0,16,16,16,16,11,11,112
gHC,64,16,0,64,64,64,64,11,11,1856
gHC,100,16,0,100,100,100,100,11,11,3865
gHC,16,17,0,5,5,5,5,11,11,25600
gHC,64,17,0,3,8,4.818181818181818,3,11,4,409600
gHC,100,17,0,4,9,4.454545454545454,4,11,1,1000000
gHC,16,18,0.533333,2.90909,4.57143,3.6133818181818183,3.55556,11,1,25600
gHC,64,18,0.679045,2.8764,4.78505,3.5525345454545456,3.53103,11,1,409600
gHC,100,18,0.785423,3.1766200000000002,4.28816,3.7603036363636364,3.72578,11,1,1000000
gHC,16,2,0,16,16,16,16,11,11,81
